,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
112517,2013-11-11 08:30:00,MISSING PERSON,MISSING ADULT,Monday,PARK,NONE,0 Block of SHRADER ST,-122.452839772389,37.7745145380854
657931,2006-01-12 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE,100 Block of GUERRERO ST,-122.42432283482401,37.7683035981657
274767,2011-08-22 11:45:00,ROBBERY,"ROBBERY, BODILY FORCE",Monday,MISSION,"ARREST, BOOKED",2900 Block of 16TH ST,-122.419212958008,37.7651339672499
389902,2009-11-15 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,TARAVAL,NONE,200 Block of BROAD ST,-122.460831252681,37.7132158370223
359225,2010-05-19 08:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED",OAKDALE AV / TOLAND ST,-122.401556880465,37.7409621320066
74812,2014-05-16 13:35:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,PARK,"ARREST, BOOKED",HAYES ST / BAKER ST,-122.441110854133,37.7745659838451
312166,2011-01-25 16:45:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,NORTHERN,NONE,0 Block of SANCHEZ ST,-122.431342864403,37.7684539072982
273976,2011-08-24 18:50:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,TENDERLOIN,NONE,300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
40267,2014-10-29 23:37:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Wednesday,NORTHERN,NONE,1500 Block of PINE ST,-122.421319145498,37.7894600151705
555396,2007-07-12 10:00:00,OTHER OFFENSES,HABITUAL TRUANT,Thursday,INGLESIDE,JUVENILE ADMONISHED,400 Block of RAYMOND AV,-122.412457953057,37.7147347356846
788298,2004-03-17 18:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.402246029097,37.7810888153345
538407,2007-10-05 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE,LAKE ST / 27TH AV,-122.487285753235,37.7856469743674
393695,2009-10-30 09:05:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,BAYVIEW,NONE,100 Block of WESTPOINT RD,-122.380382266471,37.7353538209895
692794,2005-07-16 17:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,HAWTHORNE ST / FOLSOM ST,-122.39781658953899,37.7846680653709
785520,2004-03-31 16:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,PARK,"ARREST, BOOKED",1500 Block of WALLER ST,-122.44893286984501,37.7688509935378
73051,2014-05-27 15:37:00,OTHER OFFENSES,CONSPIRACY,Tuesday,RICHMOND,"ARREST, BOOKED",500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
498788,2008-05-02 17:30:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,MISSION,NONE,1600 Block of BRYANT ST,-122.410478069487,37.7662463209137
90382,2014-03-04 12:00:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,BAYVIEW,"ARREST, BOOKED",FITZGERALD AV / HAWES ST,-122.38946181463301,37.7199285121253
40870,2014-10-28 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,3RD ST / 22ND ST,-122.388318045049,37.757939423202
427070,2009-05-11 11:34:00,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,INGLESIDE,NONE,200 Block of JOOST AV,-122.440909696779,37.7324172771969
372072,2010-03-09 14:55:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.415694922134,37.7825851968467
634262,2006-05-17 10:12:00,OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,TARAVAL,NONE,2600 Block of ULLOA ST,-122.48468258573799,37.7408360860857
6642,2015-04-13 12:30:00,SECONDARY CODES,JUVENILE INVOLVED,Monday,INGLESIDE,NONE,400 Block of RAYMOND AV,-122.412457953057,37.7147347356846
127667,2013-09-03 18:00:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,TARAVAL,NONE,39TH AV / RIVERA ST,-122.49738080252199,37.745832140431204
133675,2013-08-07 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
198879,2012-09-21 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,3RD ST / HARRISON ST,-122.39738878482599,37.7825543452426
524061,2007-12-24 12:54:00,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,BAYVIEW,"ARREST, CITED",2000 Block of JERROLD AV,-122.397452866299,37.7435973530615
464873,2008-10-27 12:00:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Monday,TARAVAL,NONE,600 Block of GARFIELD ST,-122.468509522135,37.7196071171912
634450,2006-05-16 18:30:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,SOUTHERN,"ARREST, CITED",300 Block of 5TH ST,-122.403147883142,37.779995959798
436336,2009-03-21 00:24:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,SOUTHERN,"ARREST, BOOKED",800 Block of BRANNAN ST,-122.404385042303,37.7721958190345
701868,2005-06-01 22:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,MISSION,NONE,0 Block of FAIROAKS ST,-122.424435192178,37.7558996256895
535504,2007-10-20 08:45:00,ASSAULT,BATTERY,Saturday,INGLESIDE,NONE,3300 Block of MISSION ST,-122.421128029505,37.7435550542265
398108,2009-10-04 12:15:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Sunday,NORTHERN,"ARREST, BOOKED",1500 Block of LAGUNA ST,-122.428001663491,37.78538541302221
215025,2012-06-30 12:00:00,RUNAWAY,RUNAWAY,Saturday,BAYVIEW,LOCATED,1600 Block of MCKINNON AV,-122.38966070117701,37.7361786073283
280899,2011-07-14 22:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,RICHMOND,NONE,4500 Block of FULTON ST,-122.480455969638,37.7727952949369
443728,2009-02-16 22:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,PARK,NONE,DIVISADERO ST / HAIGHT ST,-122.437048523435,37.7712678186367
847208,2003-05-29 21:35:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,BAYVIEW,"ARREST, CITED",0 Block of COMMER CT,-122.38499543408999,37.7325333188542
752428,2004-09-04 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,0 Block of MINT ST,-122.407381474221,37.7824402917751
488931,2008-06-25 23:05:00,MISSING PERSON,MISSING JUVENILE,Wednesday,BAYVIEW,NONE,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
592690,2006-12-16 16:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE,VANNESS AV / GEARY ST,-122.421395819115,37.7856843389472
656269,2006-01-23 20:30:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of HYDE ST,-122.415858343095,37.7830505366842
83565,2014-04-03 17:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,0 Block of DORE ST,-122.412933062384,37.7739274524819
443356,2009-02-17 23:55:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,TENDERLOIN,NONE,HYDE ST / EDDY ST,-122.415885065788,37.783516056415294
180092,2012-12-25 11:35:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.407845374111,37.7850943210103
317772,2010-12-27 20:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,INGLESIDE,NONE,0 Block of PUEBLO ST,-122.417075711987,37.708798307862104
526657,2007-12-02 18:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,INGLESIDE,"ARREST, CITED",MISSION ST / SICKLES AV,-122.452664083403,37.7088054432465
36019,2014-11-16 03:28:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Sunday,CENTRAL,NONE,1000 Block of SUTTER ST,-122.417672923626,37.7881242734432
214451,2012-07-01 22:00:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40669059226101,37.7852071918419
854082,2003-04-29 11:30:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,6TH ST / MARKET ST,-122.41029351969699,37.7822305869807
718640,2005-03-10 00:01:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,PARK,NONE,0 Block of GRATTAN ST,-122.44894808219699,37.7641655857265
671675,2005-11-02 22:30:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Wednesday,INGLESIDE,NONE,BRUNSWICK ST / OLIVER ST,-122.449847414102,37.7083274369161
297430,2011-04-18 04:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,MISSION,NONE,2700 Block of 21ST ST,-122.409114597731,37.7575682682871
741425,2004-10-30 06:55:00,ASSAULT,BATTERY,Saturday,SOUTHERN,"ARREST, BOOKED",1000 Block of HARRISON ST,-122.40443970383801,37.777058307998296
789219,2004-03-15 17:00:00,NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
368000,2010-03-27 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,RICHMOND,NONE,0 Block of STANYAN ST,-122.456082352598,37.780646154401104
324801,2010-11-17 08:30:00,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40950430935,37.781526271747
788844,2004-03-16 14:34:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,INGLESIDE,"ARREST, CITED",NAPLES ST / PERSIA AV,-122.431204527188,37.7208557818126
748120,2004-09-29 07:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,TARAVAL,NONE,1600 Block of 12TH AV,-122.4691347029,37.7573502672604
549636,2007-08-10 11:05:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Friday,RICHMOND,NONE,2600 Block of CALIFORNIA ST,-122.43797800823499,37.7884353561249
180466,2012-12-24 06:30:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,NORTHERN,NONE,100 Block of FILLMORE ST,-122.43014576240101,37.7709500965494
183042,2012-12-10 13:00:00,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,NONE,1500 Block of HOWARD ST,-122.41666728418501,37.772123277472
140498,2013-06-30 20:00:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,NORTHERN,NONE,LARKIN ST / GROVE ST,-122.416583456133,37.778659154150795
69920,2014-06-11 23:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,PARK,"ARREST, CITED",17TH ST / ROOSEVELT WY,-122.445308620802,37.7618801162721
455716,2008-12-10 09:21:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Wednesday,BAYVIEW,NONE,INGALLS ST / CARROLL AV,-122.389622643943,37.722854152198
593534,2006-12-14 11:07:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,TENDERLOIN,NONE,0 Block of MASON ST,-122.409129633669,37.7838066631424
71765,2014-05-30 21:39:00,PROSTITUTION,HUMAN TRAFFICKING,Friday,TARAVAL,NONE,2100 Block of TARAVAL ST,-122.48909019222602,37.7424057567334
571868,2007-04-17 02:30:00,TRESPASS,TRESPASSING,Tuesday,NORTHERN,NONE,2000 Block of VANNESS AV,-122.42331066452101,37.7943634859292
793538,2004-02-20 15:30:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,PARK,NONE,300 Block of LAGUNA HONDA BL,-122.45868018978202,37.748155469233204
577604,2007-03-10 20:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Saturday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.408595110869,37.7837069301545
165330,2013-03-06 23:45:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,TENDERLOIN,NONE,200 Block of HYDE ST,-122.415858343095,37.7830505366842
147907,2013-05-30 10:10:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,NORTHERN,NONE,WEBSTER ST / TURK ST,-122.43042495533399,37.7807160084989
708409,2005-05-02 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,1500 Block of GREAT HY,-122.509073822616,37.7574601044648
603765,2006-10-19 19:33:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40652098714399,37.7850629421661
570373,2007-04-20 22:33:00,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,MISSION,NONE,24TH ST / MISSION ST,-122.418448186101,37.7522391652625
36967,2014-11-14 02:30:00,NON-CRIMINAL,FIRE REPORT,Friday,TARAVAL,NONE,800 Block of LAWTON ST,-122.472149533606,37.7590240328632
592907,2006-12-15 22:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED",1000 Block of SAN JOSE AV,-122.426175414516,37.736908367220394
60910,2014-07-24 19:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,BAYVIEW,NONE,1100 Block of 22ND ST,-122.392632444516,37.75762517228179
829627,2003-08-23 14:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,TENDERLOIN,NONE,TURK ST / JONES ST,-122.412414263588,37.7830037964305
757429,2004-08-08 20:21:00,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,TARAVAL,NONE,1400 Block of TARAVAL ST,-122.481599697771,37.7428452360376
573444,2007-04-05 13:30:00,FRAUD,"FALSE PRETENSES, GRAND THEFT",Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of STOCKTON ST,-122.40642786236,37.787109454290004
341279,2010-08-24 16:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.40901120663901,37.7811340568243
56681,2014-08-10 15:30:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Sunday,RICHMOND,NONE,1400 Block of JOHNFKENNEDY DR,-122.49483685082899,37.769549410277
196076,2012-10-05 16:08:00,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Friday,BAYVIEW,NONE,300 Block of BAY SHORE BL,-122.40647997586399,37.741057552813004
353629,2010-06-16 19:00:00,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Wednesday,SOUTHERN,"ARREST, BOOKED",400 Block of MINNA ST,-122.40738717209801,37.7810688918781
488399,2008-06-27 12:29:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,TENDERLOIN,"ARREST, BOOKED",EDDY ST / HYDE ST,-122.415885065788,37.783516056415294
158936,2013-04-05 17:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,INGLESIDE,NONE,0 Block of MIZPAH ST,-122.43894885063601,37.7363984836883
854103,2003-04-29 10:26:00,SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX",Tuesday,MISSION,NONE,100 Block of SAN JOSE AV,-122.421590971984,37.753186665045
380408,2010-01-17 05:50:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,CENTRAL,NONE,500 Block of NORTHPOINT ST,-122.416280805077,37.8062946812333
404718,2009-09-04 16:16:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,SOUTHERN,NONE,0 Block of MARKET ST,-122.39509777418101,37.79405904855621
553866,2007-07-23 07:55:00,NON-CRIMINAL,LOST PROPERTY,Monday,BAYVIEW,NONE,3RD ST / GILMAN AV,-122.395622324587,37.7224336236684
687690,2005-08-13 02:15:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,MISSION,NONE,MISSION ST / 20TH ST,-122.41905269435699,37.758632405160704
596946,2006-11-28 00:42:00,SECONDARY CODES,GANG ACTIVITY,Tuesday,RICHMOND,JUVENILE BOOKED,2500 Block of SUTTER ST,-122.44238659352301,37.7849835227905
505803,2008-03-31 12:20:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Monday,SOUTHERN,"ARREST, BOOKED",700 Block of MARKET ST,-122.40535937175301,37.7859774761625
34948,2014-11-25 19:49:00,WARRANTS,WARRANT ARREST,Tuesday,NORTHERN,"ARREST, BOOKED",MARKET ST / CHURCH ST,-122.42895003272699,37.7675027326801
217637,2012-06-16 21:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,TENDERLOIN,NONE,400 Block of LEAVENWORTH ST,-122.41459383195401,37.7851199839553
167424,2013-02-22 21:00:00,ASSAULT,BATTERY,Friday,PARK,NONE,2400 Block of GEARY BL,-122.443597047511,37.7826435280939
758897,2004-08-04 23:45:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,NORTHERN,NONE,GREEN ST / VAN NESS AV,-122.42379547416901,37.7976162435443
155557,2013-04-20 13:05:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Saturday,PARK,"ARREST, BOOKED",HAIGHT ST / COLE ST,-122.450709919144,37.7695262270693
282555,2011-07-02 20:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,INGLESIDE,NONE,900 Block of ROCKDALE DR,-122.45499278442499,37.7408033087969
164081,2013-03-09 23:00:00,LARCENY/THEFT,"THEFT, DRUNK ROLL, $200-$400",Saturday,MISSION,NONE,4100 Block of 18TH ST,-122.435563016294,37.760801062884
545945,2007-08-26 18:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,DIAMOND ST / CLIPPER ST,-122.436067390726,37.748761832621
786415,2004-03-29 12:30:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,SOUTHERN,NONE,0 Block of THE EMBARCADERO SOUTH ST,-122.38837987391899,37.783310406701496
784569,2004-04-02 12:35:00,WARRANTS,WARRANT ARREST,Friday,PARK,"ARREST, BOOKED",HAIGHT ST / COLE ST,-122.450709919118,37.7695262270744
470155,2008-09-30 22:17:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.413753670487,37.78373004094
53483,2014-08-24 20:00:00,MISSING PERSON,MISSING JUVENILE,Sunday,INGLESIDE,NONE,400 Block of EXCELSIOR AV,-122.430009348163,37.724577666718105
311665,2011-01-26 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,WILDER ST / CARRIE ST,-122.43283696131701,37.7340280845541
87102,2014-03-19 07:36:00,FRAUD,FALSE ID TO PEACE OFFICER,Wednesday,NORTHERN,NONE,400 Block of FILLMORE ST,-122.430660516537,37.773523876575204
242942,2012-02-07 23:37:00,WARRANTS,WARRANT ARREST,Tuesday,RICHMOND,"ARREST, BOOKED",400 Block of 10TH AV,-122.46856284583299,37.7798381239123
532066,2007-11-04 16:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,BAY ST / POWELL ST,-122.411953083611,37.8058242949274
209435,2012-07-29 01:20:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,CENTRAL,NONE,UNION ST / GENOA PL,-122.406412421408,37.8007855381549
862532,2003-03-18 20:00:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
777071,2004-05-11 00:23:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,MISSION,JUVENILE BOOKED,16TH ST / SHOTWELL ST,-122.416389710291,37.7652491154428
683939,2005-09-05 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,RICHMOND,NONE,400 Block of CHERRY ST,-122.456709708421,37.7864639993859
384628,2009-12-22 14:36:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,CENTRAL,NONE,MARKET ST / KEARNY ST,-122.403434086745,37.787643050179994
518189,2008-01-23 22:00:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,3500 Block of SAN BRUNO AV,-122.39998513448,37.71700871544579
198274,2012-09-23 13:24:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Sunday,BAYVIEW,NONE,800 Block of CHINABASIN ST,-122.386775025935,37.765377517215
365611,2010-04-10 17:00:00,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,BAYVIEW,NONE,1700 Block of QUESADA AV,-122.39239340391501,37.733745156808894
858328,2003-04-04 21:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,INGLESIDE,NONE,3600 Block of FOLSOM ST,-122.41332972557801,37.7408723551977
415486,2009-07-11 16:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,SOUTHERN,NONE,0 Block of THE EMBARCADEROSOUTH ST,-122.38837987391899,37.783310406701496
790410,2004-03-05 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,MISSION,NONE,2400 Block of BRYANT ST,-122.409436313449,37.7551775435269
123875,2013-09-18 22:51:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,PSYCHOPATHIC CASE,0 Block of 6TH ST,-122.40950430935,37.781526271747
94380,2014-02-08 13:25:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,SOUTHERN,NONE,800 Block of MARKET ST,-122.407633520742,37.7841893501425
121524,2013-10-01 09:45:00,MISSING PERSON,FOUND PERSON,Tuesday,NORTHERN,PSYCHOPATHIC CASE,1400 Block of PINE ST,-122.41967295494499,37.789668941238
340047,2010-08-27 17:15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
135832,2013-07-26 00:10:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE,0 Block of STILLINGS AV,-122.441614384111,37.7344639882314
606947,2006-10-04 13:14:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40953666269199,37.78269112134721
545691,2007-09-03 14:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,NORTHERN,PSYCHOPATHIC CASE,100 Block of HAYES ST,-122.418873151431,37.7773495317146
518959,2008-01-21 22:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,BAYVIEW,"ARREST, BOOKED",3RD ST / HUDSON AV,-122.38875579498999,37.7403192229675
360512,2010-05-08 18:00:00,MISSING PERSON,MISSING JUVENILE,Saturday,BAYVIEW,LOCATED,700 Block of MISSOURI ST,-122.39577189706199,37.7572927810101
62153,2014-07-21 20:52:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE,2800 Block of MISSION ST,-122.41829609443701,37.7514284856786
305253,2011-02-27 17:24:00,WARRANTS,WARRANT ARREST,Sunday,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.41219255572099,37.781604574125204
299435,2011-04-05 20:32:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,INGLESIDE,"ARREST, CITED",700 Block of NAPLES ST,-122.434095841453,37.716923394693104
77962,2014-05-01 12:00:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,NORTHERN,NONE,300 Block of IVY ST,-122.423922154334,37.77729679162871
590454,2006-12-30 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
615477,2006-08-22 10:30:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,MISSION,NONE,2800 Block of 24TH ST,-122.40866468611601,37.7528787651491
175492,2013-01-13 04:38:00,WARRANTS,WARRANT ARREST,Sunday,SOUTHERN,"ARREST, BOOKED",0 Block of MOSS ST,-122.407999186749,37.7778241673064
835602,2003-07-25 19:30:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,SOUTHERN,"ARREST, BOOKED",700 Block of MARKET ST,-122.40535937175301,37.7859774761625
151762,2013-05-13 18:55:00,WARRANTS,ENROUTE TO PROBATION OFFICER,Monday,PARK,NONE,1700 Block of MCALLISTER ST,-122.440879521853,37.77753219352179
750603,2004-09-15 20:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,500 Block of HOWARD ST,-122.398143526066,37.7869461751428
219585,2012-06-11 02:33:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,TENDERLOIN,"ARREST, BOOKED",300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
97040,2014-01-25 21:26:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE,PINE ST / HYDE ST,-122.41720963943001,37.790045901716795
41958,2014-10-18 23:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,11TH ST / HARRISON ST,-122.41248326348,37.7706305910776
734185,2004-12-10 07:00:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,NORTHERN,"ARREST, CITED",SUTTER ST / LARKIN ST,-122.41846774793801,37.787965256956795
816088,2003-10-29 19:00:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Wednesday,SOUTHERN,"ARREST, CITED",1600 Block of HARRISON ST,-122.41318059398,37.7697620111661
231064,2012-04-07 07:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
100376,2014-01-10 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE,200 Block of THE EMBARCADERONORTH ST,-122.39670853025999,37.79787288559329
399016,2009-10-02 08:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,PARK,NONE,900 Block of HAIGHT ST,-122.437904238512,37.7712141777478
37434,2014-11-12 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,NONE,REVERE AV / KEITH ST,-122.38829455719,37.73060802717
175425,2013-01-13 12:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,INGLESIDE,NONE,HEYMAN ST / PROSPECT AV,-122.419812244459,37.7418335591744
